"No.","Time","Source","Destination","Protocol","Length","Info"
"399291","3169.896028207","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399304","3170.899557066","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399306","3170.902380928","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3101) [Deviceb'Device - 1']"
"399307","3170.902817335","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399310","3170.905326010","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3101)"
"399312","3170.906030515","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399325","3171.910222364","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399327","3171.913085651","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3102) [Deviceb'Device - 1']"
"399329","3171.918015304","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399331","3171.920480847","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3102)"
"399333","3171.920822214","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399345","3172.925148050","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399347","3172.928102589","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3103) [Deviceb'Device - 1']"
"399348","3172.928538977","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399351","3172.930942782","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3103)"
"399353","3172.931500219","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399364","3173.936296758","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399366","3173.939569221","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3104) [Deviceb'Device - 1']"
"399367","3173.939918122","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399370","3173.942383735","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3104)"
"399372","3173.943283971","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399384","3174.947421384","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399386","3174.950476986","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3105) [Deviceb'Device - 1']"
"399387","3174.950850353","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399390","3174.953234391","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3105)"
"399392","3174.953682511","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399405","3175.957320700","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399407","3175.960327779","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3106) [Deviceb'Device - 1']"
"399408","3175.960895325","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399411","3175.963164445","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3106)"
"399413","3175.963507485","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399434","3176.967044125","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399436","3176.971367057","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3107) [Deviceb'Device - 1']"
"399437","3176.971725527","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399440","3176.974303603","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3107)"
"399442","3176.974709212","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399458","3177.978635452","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399460","3177.981576706","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3108) [Deviceb'Device - 1']"
"399461","3177.981987174","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399464","3177.984514755","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3108)"
