"No.","Time","Source","Destination","Protocol","Length","Info"
"166169","1012.658745008","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=989)"
"166171","1012.659149343","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166188","1013.662906871","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166190","1013.665121297","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=990) [Deviceb'Device - 2']"
"166191","1013.665556390","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166194","1013.668100379","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=990)"
"166196","1013.668844386","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166208","1014.673778068","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166210","1014.676701946","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=991) [Deviceb'Device - 2']"
"166211","1014.677108475","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166214","1014.679478416","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=991)"
"166216","1014.680444883","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166257","1015.683998856","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166259","1015.686927373","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=992) [Deviceb'Device - 2']"
"166260","1015.687509744","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166263","1015.689713440","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=992)"
"166265","1015.690441026","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166277","1016.694077156","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166279","1016.696952892","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=993) [Deviceb'Device - 2']"
"166280","1016.697475480","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166283","1016.699710345","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=993)"
"166285","1016.700448120","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166298","1017.704059544","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166300","1017.708048916","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=994) [Deviceb'Device - 2']"
"166302","1017.711415831","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166304","1017.713787265","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=994)"
"166306","1017.714403820","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166862","1018.721859303","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166912","1018.726442087","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=995) [Deviceb'Device - 2']"
"166922","1018.727280201","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166973","1018.731824602","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=995)"
"166980","1018.732281927","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167742","1019.735091708","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167744","1019.739813495","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=996) [Deviceb'Device - 2']"
"167745","1019.740181921","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167748","1019.742495094","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=996)"
"167750","1019.743128722","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167760","1020.746976954","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
